# Populated places used to name carpool stops. GENERATED FILE — do not edit.
# Regenerate with scripts/generate-places.mjs (see that file for the source data).
#
# Source: GeoNames (https://www.geonames.org/), licensed CC BY 4.0.
# Norway: every populated place. Sweden: those within 150 km of Norway.
#
# One place per line: name|latitude|longitude
Ravelseidet, Nordreisa|69.8297|20.7848
Keisi, Porsanger|70.6069|25.9913
Kiberg, Vardø|70.2854|30.9973
Ytre Kåfjord, Nordkapp|70.8926|25.7697
Ytre Hop, Gamvik|70.7974|28.1179
Goarahat, Porsanger|70.2628|25.0271
Ytre Eide, Nordreisa|69.9167|20.9667
Gorbovuotna, Porsanger|70.3543|25.0385
Ysteby, Kåfjord|69.6158|20.4867
Ysneset, Loppa|70.25|22.35
Vorterøyskagen, Skjervøy|69.9667|20.7
Vinterset, Loppa|70.2|22.35
Vikran, Måsøy|71.0522|24.0154
Vikan, Karlsøy|70.1167|20.0667
Njiđgu, Nesseby|70.1566|28.5744
Vesterelva, Nesseby|70.1333|28.5333
Veidnes, Berlevåg|70.7243|29.3528
Veidnes, Lebesby|70.6577|26.5881
Veidal, Lyngen|69.8|20.0167
Vatnet, Kåfjord|69.5167|20.5
Vasskogen, Alta|70.0333|23.5167
Vardø|70.3705|31.1107
Vuonnabahta, Nesseby|70.1728|28.556
Vannvåg, Karlsøy|70.0727|19.9821
Valen, Karlsøy|70.1167|20
Valanhamn, Kvænangen|69.964|21.5186
Været, Vadsø|70.062|29.8563
Vadsø|70.0735|29.7494
Muotkkevuolli, Kvænangen|69.8682|21.9808
Indre Ulvsvåg, Alta|70.0743|22.6729
Uløybukta, Skjervøy|69.8594|20.6816
Turelv, Alta|70.0276|23.4049
Tunes, Nordkapp|71.1667|25.55
Tufjord, Måsøy|71.005|23.9088
Tuejord, Tana|70.45|28.45
Trollvik, Kåfjord|69.5252|20.759
Bukta, Måsøy|71.022|24.0085
Tretten, Nordreisa|69.8|21.1214
Gohppi, Tana|70.4777|27.9874
Tømmervik, Lebesby|70.8344|26.6579
Boftsa, Tana|70.3769|28.175
Tjørnberg, Tromsø|69.5833|20.0333
Tårnet, Sør-Varanger|69.6741|30.4423
Tappeluft, Alta|70.0875|22.4747
Talvik, Alta|70.0425|22.9499
Svartvika, Måsøy|71.0875|24.8036
Svartnes, Vardø|70.3587|31.03
Svanvik, Sør-Varanger|69.4538|30.0496
Sværholt, Lebesby|70.962|26.6841
Šuoššjohka, Tana|70.4434|27.8253
Sundneset, Alta|70.25|22.6333
Soleng, Kåfjord|69.5974|20.5511
Straumfjordnes, Nordreisa|69.8778|21.2052
Straumen, Lyngen|69.8833|20.1833
Hjellnes, Nordkapp|70.8764|25.8452
Storvika, Skjervøy|69.9|20.6333
Storvik, Nordreisa|69.8441|21.0642
Storsletta, Nordreisa|69.8227|20.5299
Storslett, Nordreisa|69.7678|21.0247
Storslett, Kåfjord|69.5833|20.5833
Storneshamn, Nordreisa|69.9|21.05
Energjerdet, Alta|69.9613|23.336
Taskeby, Skjervøy|69.9825|21
Store Salttjern, Vadsø|70.0685|29.9699
Storeng, Kvænangen|70.0068|22.024
Storeng, Storfjord|69.3634|20.0129
Storelva, Skjervøy|70.1317|20.7981
Giranjárga, Alta|70.2142|23.2022
Storbukt, Sør-Varanger|69.762|29.6171
Storbukt, Sør-Varanger|69.6857|30.4577
Steinsvik, Nordreisa|69.8833|21.1333
Steinnes, Loppa|70.2667|22.1333
Stenbakk, Sør-Varanger|69.4281|29.8373
Stállogárggu, Hammerfest|70.519|23.9706
Spitnes, Kvænangen|70.1|21.4833
Spåkenes, Nordreisa|69.7667|20.4667
Sørvær, Hasvik|70.6323|21.9856
Sør Tverrfjord, Loppa|70.2196|21.7141
Sørstraumen, Kvænangen|69.8418|21.8594
Sørlenangen, Lyngen|69.8196|20.0267
Sørkjosen, Kvænangen|69.95|21.9667
Sørkjosen, Nordreisa|69.7859|20.9505
Sør-Rekvika, Skjervøy|70.1366|20.3867
Muorral, Måsøy|70.7878|24.6072
Smellror, Vardø|70.3854|31.0204
Småland, Alta|69.9167|23.2667
Muotki, Måsøy|70.7497|24.5146
Skuvgi, Tana|70.4686|28.3647
Skorpa, Kvænangen|69.9333|21.7167
Skoltebyen, Sør-Varanger|69.6887|29.3748
Skogfoss, Sør-Varanger|69.3744|29.6935
Skoganvarre, Porsanger|69.8398|25.0782
Skjøtningberg, Lebesby|71.0193|27.3703
Skjervøy|70.0311|20.9714
Skjånes, Gamvik|70.8007|28.1025
Skjåholmen, Hammerfest|70.5475|23.7282
Skipsfjord, Nordkapp|71.0262|25.8933
Skiippagurra, Tana|70.1654|28.2246
Skinnelva, Lyngen|69.6137|20.3339
Skillemo, Alta|69.9|23.25
Ivgobahta, Storfjord|69.3909|20.2674
Skarsvåg, Nordkapp|71.1132|25.827
Skallelv, Vadsø|70.1892|30.3342
Sirddagohppi, Nesseby|70.1066|28.5931
Sirma, Tana|70.0145|27.3985
Simavåg, Skjervøy|69.988|20.9706
Vuolle-Siebe, Kautokeino|68.874|23.1429
Seljeli, Alta|70.0833|22.5333
Sekkemo, Kvænangen|69.8381|21.9568
Seglvik, Kvænangen|70.2062|21.2167
Sauhamn, Måsøy|70.75|24.3667
Sarnes, Nordkapp|70.9736|25.7954
Sappen, Nordreisa|69.5592|21.2981
Sandvikvær, Måsøy|71.0777|24.702
Sandnes, Sør-Varanger|69.6698|29.9447
Sandland, Loppa|70.2673|21.6028
Samuelsberg, Kåfjord|69.5515|20.5335
Sagen, Alta|69.95|23.4167
Searvegieddi, Tana|70.4373|27.8749
Hamna i Ryggefjord, Måsøy|70.8725|24.9366
Rustefjelbma, Tana|70.3982|28.1916
Russesand, Måsøy|71.0766|24.797
Kokelv, Hammerfest|70.6132|24.6527
